institution_name,id,url,institution_code_number,institution_type,beginning_of_activity,state,address,post_code,place,headquarters_name,headquarters_address,post_code,city,country,subscribed_capital,paid_up_capital,related_decisions,published_accounts
"ATOS WORLDLINE SA",10056,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=10056",8972,"Free Provision of Services by EU Payment Institutions",2014-06-04,"Active",,,,,,,,"Bélgica",,,,
"BBVA LEASIMO - SOCIEDADE DE LOCAÇÃO FINANCEIRA, SA",9434,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9434",670,"Financial Leasing Companies",1989-05-29,"Active","AVENIDA DA LIBERDADE, Nº 222","1250-148 LISBOA","LISBOA",,,"1250-148 LISBOA",,,7500000.00,7500000.00,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=BBVA+LEASIMO+-+SOCIEDADE+DE+LOCA%c3%87%c3%83O+FINANCEIRA%2c+SA","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=BBVA+LEASIMO+-+SOCIEDADE+DE+LOCA%c3%87%c3%83O+FINANCEIRA%2c+SA"
"CENTRUM ELEKTRONICZNYCH USLUG PLATNICZICH ESERVICE SPÓLKA Z OGRANICZONA ODPOWIEDZIALNÓSCIA",10062,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=10062",8980,"Free Provision of Services by EU Payment Institutions",2013-12-23,"Active",,,,,,,,"Polónia",,,,
"EFG BANK (LUXEMBOURG) SA",9304,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9304",9594,"Free Provision of Services by EU Credit Institutions",2012-07-15,"Active",,,,,,,,"Luxemburgo",,,,
"CAJA DE AHORROS DEL MEDITERRÁNEO",9003,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9003",9476,"Free Provision of Services by EU Credit Institutions",2007-12-05,"Active",,,,,,,,"Espanha",,,,
"CAIXA DE CRÉDITO AGRÍCOLA MÚTUO DE COIMBRA, CRL",9694,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9694",3030,"Central Mutual Agricultural Credit Bank and Mutual Agricultural Credit Banks",1950-02-01,"Active","RUA JOÃO MACHADO, Nº 78","3000-226 COIMBRA","COIMBRA",,,"3000-226 COIMBRA",,,14032295.00,14032295.00,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=CAIXA+DE+CR%c3%89DITO+AGR%c3%8dCOLA+M%c3%9aTUO+DE+COIMBRA%2c+CRL","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=CAIXA+DE+CR%c3%89DITO+AGR%c3%8dCOLA+M%c3%9aTUO+DE+COIMBRA%2c+CRL"
"LXM FINANCE LLP",9913,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9913",8902,"Free Provision of Services by EU Payment Institutions",2013-05-14,"Active",,,,,,,,"Reino Unido",,,,
"DORNBIRNER SPARKASSE BANK AG",8722,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8722",9217,"Free Provision of Services by EU Credit Institutions",1995-09-12,"Active",,,,,,,,"Áustria",,,,
"LANDESBANK BADEN-WURTTEMBERG",8728,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8728",9223,"Free Provision of Services by EU Credit Institutions",1999-06-01,"Active",,,,,,,,"Alemanha",,,,
"BANK OF TOKYO INTERNATIONAL LTD",8536,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8536",9023,"Free Provision of Services by EU Credit Institutions",1993-10-22,"Active",,,,,,,,"Reino Unido",,,,
