institution_name,id,url,institution_code_number,institution_type,beginning_of_activity,state,address,post_code,place,headquarters_name,headquarters_address,post_code,city,country,subscribed_capital,paid_up_capital,related_decisions,published_accounts
"DOCDATA PAYMENTS B.V.",9251,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9251",8845,"Free Provision of Services by EU Payment Institutions",2011-11-08,"Active",,,,,,,,"Holanda",,,,
"VALARTIS BANK (AUSTRIA) AG",10074,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=10074",9639,"Free Provision of Services by EU Credit Institutions",2014-01-02,"Active",,,,,,,,"Áustria",,,,
"TRUSTLY GROUP AB",9948,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9948",8912,"Free Provision of Services by EU Payment Institutions",,"Active",,,,,,,,"Suécia",,,,
"DNB BANK ASA",8677,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8677",9173,"Free Provision of Services by EU Credit Institutions",1997-08-20,"Active",,,,,,,,"Noruega",,,,
"BANCO BRADESCO EUROPA, SA",9105,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9105",9551,"Free Provision of Services by EU Credit Institutions",2010-05-01,"Active",,,,,,,,"Luxemburgo",,,,
"GLOBAL COLLECT SERVICES B.V.",9180,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9180",8796,"Free Provision of Services by EU Payment Institutions",2010-11-25,"Active",,,,,,,,"Holanda",,,,
"CAIXA DE CRÉDITO AGRÍCOLA MÚTUO DE TERRAS DO SOUSA, AVE, BASTO E TÂMEGA, CRL",9648,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9648",1320,"Central Mutual Agricultural Credit Bank and Mutual Agricultural Credit Banks",1985-05-14,"Active","PRAÇA DA REPÚBLICA, Nº. 228","4610-116 FELGUEIRAS","FELGUEIRAS",,,"4610-116 FELGUEIRAS",,,18707405.00,18707405.00,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=CAIXA+DE+CR%c3%89DITO+AGR%c3%8dCOLA+M%c3%9aTUO+DE+TERRAS+DO+SOUSA%2c+AVE%2c+BASTO+E+T%c3%82MEGA%2c+CRL","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=CAIXA+DE+CR%c3%89DITO+AGR%c3%8dCOLA+M%c3%9aTUO+DE+TERRAS+DO+SOUSA%2c+AVE%2c+BASTO+E+T%c3%82MEGA%2c+CRL"
"SKANDINAVISKA ENSKILDA BANKEN SA",10116,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=10116",9644,"Free Provision of Services by EU Credit Institutions",2015-04-20,"Active",,,,,,,,"Luxemburgo",,,,
"ZURICH BANK",8822,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8822",9312,"Free Provision of Services by EU Credit Institutions",2001-11-21,"Active",,,,,,,,"Irlanda",,,,
"DEPFA-BANK EUROPE PLC",8569,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8569",9058,"Free Provision of Services by EU Credit Institutions",1994-02-08,"Active",,,,,,,,"Irlanda",,,,
"CAIXA ECONÓMICA DO PORTO",9489,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9489",57,"Savings Banks (Caixas Económicas)",1911-02-22,"Active","RUA FORMOSA, 325 - 1º","4000-252 PORTO","PORTO",,,"4000-252 PORTO",,,1489.00,1489.00,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=CAIXA+ECON%c3%93MICA+DO+PORTO","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=CAIXA+ECON%c3%93MICA+DO+PORTO"
"TRANSACTWORLD LIMITED",10130,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=10130",7645,"Free Provision of Services by EU Electronic Money Institutions",,"Active",,,,,,,,"Reino Unido",,,,
"STANDARD CHARTERED BANK (CI), LIMITED",8459,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8459",155,"Representatives Offices of Credit Institutions with Head Offices Abroad",2000-06-13,"Active","RUA PÊRO FERNANDES, 25, 1º ESQº.","2840-276 SEIXAL","ARRENTELA","STANDARD CHARTERED BANK (CI), LIMITED","JERSEY","2840-276 SEIXAL","JERSEY","Reino Unido",,,,
"WORLDBRIDGE PAYMENT SERVICES SA",9988,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9988",8938,"Free Provision of Services by EU Payment Institutions",2013-12-06,"Active",,,,,,,,"Grécia",,,,
"CNH FINANCIAL SERVICES",8986,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8986",9461,"Free Provision of Services by EU Credit Institutions",2007-05-17,"Active",,,,,,,,"França",,,,
"CRONOSPRINT (UK) LIMITED",10165,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=10165",9829,"Free Provision of Services by EU Payment Institutions",2015-09-11,"Active",,,,,,,,"Reino Unido",,,,
"MAGYAR KÜLKERESKEDELMI BANK RÉSZVÉNYTÁRSASÁG",8898,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8898",9378,"Free Provision of Services by EU Credit Institutions",2004-11-11,"Active",,,,,,,,"Hungria",,,,
"BADEN-WÜRTTEMBERGISCHE BANK AG",8850,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8850",9334,"Free Provision of Services by EU Credit Institutions",2003-03-26,"Active",,,,,,,,"Alemanha",,,,
"CITIGROUP GLOBAL MARKETS DEUTSCHLAND AG",8889,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8889",9370,"Free Provision of Services by EU Credit Institutions",2004-08-19,"Active",,,,,,,,"Alemanha",,,,
"SOCIÉTÉ GÉNÉRALE SCF",9011,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9011",9484,"Free Provision of Services by EU Credit Institutions",2008-01-15,"Active",,,,,,,,"França",,,,
"NORDDEUTSHE LANDESBANK GIRONZENTRALE",8890,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8890",9371,"Free Provision of Services by EU Credit Institutions",2004-08-04,"Active",,,,,,,,"Alemanha",,,,
"IDT FINANCIAL SERVICES LIMITED",8965,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8965",9442,"Free Provision of Services by EU Credit Institutions",2006-12-12,"Active",,,,,,,,"Reino Unido",,,,
"PAYLEVEN LTD",9340,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9340",8891,"Free Provision of Services by EU Payment Institutions",2013-02-28,"Active",,,,,,,,"Reino Unido",,,,
"INVESTEC BANK PLC",8897,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8897",9377,"Free Provision of Services by EU Credit Institutions",2004-11-11,"Active",,,,,,,,"Reino Unido",,,,
"NEWEDGE GROUP",8884,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8884",9365,"Free Provision of Services by EU Credit Institutions",2004-06-09,"Active",,,,,,,,"França",,,,
"CAIXA DE CRÉDITO AGRÍCOLA MÚTUO DE VILA VERDE E DE TERRAS DO BOURO, CRL",9646,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9646",1290,"Central Mutual Agricultural Credit Bank and Mutual Agricultural Credit Banks",1933-06-05,"Active","PRAÇA 5 DE OUTUBRO, nº 81","4730-731 VILA VERDE","VILA VERDE",,,"4730-731 VILA VERDE",,,5098080.00,5098080.00,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=CAIXA+DE+CR%c3%89DITO+AGR%c3%8dCOLA+M%c3%9aTUO+DE+VILA+VERDE+E+DE+TERRAS+DO+BOURO%2c+CRL","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=CAIXA+DE+CR%c3%89DITO+AGR%c3%8dCOLA+M%c3%9aTUO+DE+VILA+VERDE+E+DE+TERRAS+DO+BOURO%2c+CRL"
"BANK OF COMMUNICATIONS (LUXEMBOURG), SA",10127,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=10127",9645,"Free Provision of Services by EU Credit Institutions",2015-06-01,"Active",,,,,,,,"Luxemburgo",,,,
"PAYCO FINANCIAL SERVICES LTD",9974,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9974",7621,"Free Provision of Services by EU Electronic Money Institutions",2013-09-18,"Active",,,,,,,,"Reino Unido",,,,
"REMITIX LIMITED",10023,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=10023",8956,"Free Provision of Services by EU Payment Institutions",,"Active",,,,,,,,"Reino Unido",,,,
"COMPAGNIE DE BANQUE PRIVÉE QUILVEST",8995,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8995",9469,"Free Provision of Services by EU Credit Institutions",2007-10-15,"Active",,,,,,,,"Luxemburgo",,,,
"BANQUE BCP SA",10146,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=10146",9654,"Free Provision of Services by EU Credit Institutions",2015-08-24,"Active",,,,,,,,"Luxemburgo",,,,
"CAIXA DE CRÉDITO AGRÍCOLA MÚTUO DO ALTO DOURO, CRL",9667,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9667",2040,"Central Mutual Agricultural Credit Bank and Mutual Agricultural Credit Banks",1947-09-16,"Active","AVENIDA JOÃO DA CRUZ, N.º 94/98","5300-178 BRAGANÇA","BRAGANÇA",,,"5300-178 BRAGANÇA",,,35146765.00,35146765.00,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=CAIXA+DE+CR%c3%89DITO+AGR%c3%8dCOLA+M%c3%9aTUO+DO+ALTO+DOURO%2c+CRL","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=CAIXA+DE+CR%c3%89DITO+AGR%c3%8dCOLA+M%c3%9aTUO+DO+ALTO+DOURO%2c+CRL"
"SOCIÉTÉ GÉNÉRALE",8420,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8420",116,"Representatives Offices of Credit Institutions with Head Offices Abroad",1978-04-20,"Active","AVENIDA DA LIBERDADE, 190 - 6º A","1250-147 LISBOA","LISBOA","SOCIÉTÉ GÉNÉRALE","29, BOULEVARD HAUSSMANN","1250-147 LISBOA","PARIS","França",,,,
"PICTET & CIE (EUROPE), SA",10020,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=10020",9625,"Free Provision of Services by EU Credit Institutions",2014-04-01,"Active",,,,,,,,"Luxemburgo",,,,
"PAYTRAIL OYJ",9973,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9973",8926,"Free Provision of Services by EU Payment Institutions",2013-05-28,"Active",,,,,,,,"Finlândia",,,,
"FCE BANK PLC",8396,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8396",82,"Branches of Credit Institutions with Head Office in the EU",1993-12-30,"Active","AVENIDA DA LIBERDADE, 249 - 5º ANDAR","1250-143 LISBOA","LISBOA","FCE BANK PLC","CENTRAL OFFICE - EAGLE WAY, BRENTHOOD - ESSEX - CM13 3AR","1250-143 LISBOA","ESSEX","Reino Unido",,,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=FCE+BANK+PLC","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=FCE+BANK+PLC"
"FUNDIESTAMO-SOCIEDADE GESTORA DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO, S.A.",9615,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9615",996,"Real Estate Investment Fund Management Companies",2006-12-28,"Active","AVENIDA DEFENSORES DE CHAVES, Nº 6, 3º ANDAR","1049-063 LISBOA","LISBOA",,,"1049-063 LISBOA",,,1000000.00,1000000.00,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=FUNDIESTAMO-SOCIEDADE+GESTORA+DE+FUNDOS+DE+INVESTIMENTO+IMOBILI%c3%81RIO%2c+S.A.","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=FUNDIESTAMO-SOCIEDADE+GESTORA+DE+FUNDOS+DE+INVESTIMENTO+IMOBILI%c3%81RIO%2c+S.A."
"CONCARDIS GMBH",9307,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9307",8874,"Free Provision of Services by EU Payment Institutions",,"Active",,,,,,,,"Alemanha",,,,
"HAVANA INTERNATIONAL BANK LTD",8584,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8584",9074,"Free Provision of Services by EU Credit Institutions",1993-10-22,"Active",,,,,,,,"Reino Unido",,,,
"YAMAICHI BANK (UK) PLC",8642,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8642",9135,"Free Provision of Services by EU Credit Institutions",1993-10-22,"Active",,,,,,,,"Reino Unido",,,,
"CAIXA DE CRÉDITO AGRÍCOLA MÚTUO DO VALE DO SOUSA E BAIXO TÂMEGA, CRL",9651,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9651",1340,"Central Mutual Agricultural Credit Bank and Mutual Agricultural Credit Banks",1982-04-06,"Active","LARGO DA DEVESA","4560-496 PENAFIEL","PENAFIEL",,,"4560-496 PENAFIEL",,,16991895.00,16991895.00,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=CAIXA+DE+CR%c3%89DITO+AGR%c3%8dCOLA+M%c3%9aTUO+DO+VALE+DO+SOUSA+E+BAIXO+T%c3%82MEGA%2c+CRL","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=CAIXA+DE+CR%c3%89DITO+AGR%c3%8dCOLA+M%c3%9aTUO+DO+VALE+DO+SOUSA+E+BAIXO+T%c3%82MEGA%2c+CRL"
"CAIXA CENTRAL - CAIXA CENTRAL DE CRÉDITO AGRÍCOLA MÚTUO, CRL",9878,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9878",9000,"Central Mutual Agricultural Credit Bank and Mutual Agricultural Credit Banks",1984-06-20,"Active","RUA CASTILHO, 233/233-A","1099-004 LISBOA","LISBOA",,,"1099-004 LISBOA",,,302495705.00,302495705.00,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=CAIXA+CENTRAL+-+CAIXA+CENTRAL+DE+CR%c3%89DITO+AGR%c3%8dCOLA+M%c3%9aTUO%2c+CRL","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=CAIXA+CENTRAL+-+CAIXA+CENTRAL+DE+CR%c3%89DITO+AGR%c3%8dCOLA+M%c3%9aTUO%2c+CRL"
"VIVA PAYMENT SERVICES, SA",9940,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9940",8907,"Free Provision of Services by EU Payment Institutions",2013-10-01,"Active",,,,,,,,"Grécia",,,,
"CERRO CATEDRAL ENTIDAD DE PAGO, SA",10109,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=10109",8893,"Free Provision of Services by EU Payment Institutions",2013-03-13,"Active",,,,,,,,"Espanha",,,,
"BANK OF CHINA (LUXEMBOURG), SA LISBON BRANCH - SUCURSAL EM PORTUGAL",9341,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9341",266,"Branches of Credit Institutions with Head Office in the EU",2013-04-22,"Active","RUA DUQUE DE PALMELA, NºS. 35, 35A E 37","L-1724 LUXEMBOURG","LISBOA","BANK OF CHINA (LUXEMBOURG), SA","37/39 BOULEVARD PRINCE HENRI","L-1724 LUXEMBOURG","LUXEMBOURG","Luxemburgo",,,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=BANK+OF+CHINA+(LUXEMBOURG)%2c+SA+LISBON+BRANCH+-+SUCURSAL+EM+PORTUGAL","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=BANK+OF+CHINA+(LUXEMBOURG)%2c+SA+LISBON+BRANCH+-+SUCURSAL+EM+PORTUGAL"
"ONE STOP MONEY MANAGER LIMITED",9926,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9926",7603,"Free Provision of Services by EU Electronic Money Institutions",2012-08-17,"Active",,,,,,,,"Reino Unido",,,,
"CHASE PAYMENTECH EUROPE LIMITED",9163,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9163",8769,"Free Provision of Services by EU Payment Institutions",2009-11-01,"Active",,,,,,,,"Irlanda",,,,
"AGRICULTURAL BANK OF CHINA (LUXEMBOURG) SA",10147,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=10147",9653,"Free Provision of Services by EU Credit Institutions",2015-08-18,"Active",,,,,,,,"Luxemburgo",,,,
"CREDIT SUISSE INTERNATIONAL",8563,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8563",9053,"Free Provision of Services by EU Credit Institutions",1993-10-22,"Active",,,,,,,,"Reino Unido",,,,
"DANSKE BANK PLC",8726,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8726",9221,"Free Provision of Services by EU Credit Institutions",1999-02-19,"Active",,,,,,,,"Finlândia",,,,
"RENTABILIWEB EUROPE",10075,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=10075",8985,"Free Provision of Services by EU Payment Institutions",,"Active",,,,,,,,"França",,,,
"NOVACÂMBIOS - INSTITUIÇÃO DE PAGAMENTO, SA",9525,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9525",,"Payment Institutions",,,,,,,,,,,,,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=NOVAC%c3%82MBIOS++-++INSTITUI%c3%87%c3%83O+DE+PAGAMENTO%2c+SA","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=NOVAC%c3%82MBIOS++-++INSTITUI%c3%87%c3%83O+DE+PAGAMENTO%2c+SA"
"THE BANK OF TOKYO - MITSUBISHI UFJ, LTD (ESCRITÓRIO DE REPRESENTAÇÃO)",8385,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8385",157,"Representatives Offices of Credit Institutions with Head Offices Abroad",2000-09-01,"Active","AVENIDA ENGENHEIRO DUARTE PACHECO, AMOREIRAS, TORRE 1, PISO 4, SALA 10","1070-101 LISBOA","LISBOA","THE BANK OF TOKYO - MITSUBISHI UFJ, LTD","3-2 NIHOMBASHI, HONGOKUCHO 1-CHOME, CHUO-KU","1070-101 LISBOA","TÓQUIO","Japão",,,,
"FOREIGN CURRENCY EXCHANGE LIMITED",9986,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9986",8936,"Free Provision of Services by EU Payment Institutions",2009-12-03,"Active",,,,,,,,"Reino Unido",,,,
"PARITYFX PLC",10072,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=10072",8983,"Free Provision of Services by EU Payment Institutions",,"Active",,,,,,,,"Reino Unido",,,,
"V.I. - AGÊNCIA DE CÂMBIOS, LDA",8731,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8731",490,"Exchange Offices",1996-09-20,"Active","PRAÇA MIGUEL BOMBARDA, 17","8200-076 ALBUFEIRA","ALBUFEIRA",,,"8200-076 ALBUFEIRA",,,150000.00,150000.00,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=V.I.+-+AG%c3%8aNCIA+DE+C%c3%82MBIOS%2c+LDA","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=V.I.+-+AG%c3%8aNCIA+DE+C%c3%82MBIOS%2c+LDA"
"IMOPOLIS - SOCIEDADE GESTORA DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO, SA",9560,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9560",864,"Real Estate Investment Fund Management Companies",1993-12-07,"Active","AVENIDA DO FORTE, Nº 3, EDIFÍCIO SUÉCIA IV, PISO 0","2795-504 CARNAXIDE","CARNAXIDE",,,"2795-504 CARNAXIDE",,,750000.00,750000.00,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=IMOPOLIS+-+SOCIEDADE+GESTORA+DE+FUNDOS+DE+INVESTIMENTO+IMOBILI%c3%81RIO%2c+SA","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=IMOPOLIS+-+SOCIEDADE+GESTORA+DE+FUNDOS+DE+INVESTIMENTO+IMOBILI%c3%81RIO%2c+SA"
"INTERNATIONAL MONEY EXPRESS (IME) LIMITED",9965,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9965",8923,"EU Payment Institutions with tied Agents",2013-08-12,"Active",,,,,,,,"Reino Unido",,,,
"ICEPAY B.V.",10144,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=10144",9817,"Free Provision of Services by EU Payment Institutions",2015-07-07,"Active",,,,,,,,"Holanda",,,,
"TRUST PAY, AS",9148,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9148",8776,"Free Provision of Services by EU Payment Institutions",2010-02-17,"Active",,,,,,,,"Eslováquia",,,,
"LIENZER SPARKASSE AG",8908,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8908",9389,"Free Provision of Services by EU Credit Institutions",2005-02-24,"Active",,,,,,,,"Áustria",,,,
"CHELSEA BUILDING SOCIETY",8892,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8892",9373,"Free Provision of Services by EU Credit Institutions",2004-09-17,"Active",,,,,,,,"Reino Unido",,,,
"CASA DE INVESTIMENTOS - GESTÃO DE PATRIMÓNIOS, SA",9095,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9095",1009,"Wealth Management Companies",2010-07-06,"Active","PRAÇA DA JUSTIÇA, Nº 191 - 1º ANDAR - SALA 1","4715-125 BRAGA","BRAGA",,,"4715-125 BRAGA",,,500000.00,500000.00,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=CASA+DE+INVESTIMENTOS+-+GEST%c3%83O+DE+PATRIM%c3%93NIOS%2c+SA","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=CASA+DE+INVESTIMENTOS+-+GEST%c3%83O+DE+PATRIM%c3%93NIOS%2c+SA"
"BANCO SANTANDER CONSUMER PORTUGAL, SA",9591,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9591",73,"Banks",1997-02-03,"Active","RUA CASTILHO, 2/4","1269-073 LISBOA","LISBOA",,,"1269-073 LISBOA",,,66592947.00,66592947.00,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=BANCO+SANTANDER+CONSUMER+PORTUGAL%2c+SA","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=BANCO+SANTANDER+CONSUMER+PORTUGAL%2c+SA"
"UNITY LINK FINANCIAL SERVICES LTD",10084,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=10084",8991,"Free Provision of Services by EU Payment Institutions",2014-12-05,"Active",,,,,,,,"Reino Unido",,,,
"GLOBAL PAYMENTS EUROPE, SRO",10089,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=10089",8975,"Free Provision of Services by EU Payment Institutions",2015-01-01,"Active",,,,,,,,"República Checa",,,,
"DAIWA EUROPE BANK PLC",8565,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8565",9055,"Free Provision of Services by EU Credit Institutions",1993-10-22,"Active",,,,,,,,"Reino Unido",,,,
"CAIXA DE CRÉDITO AGRÍCOLA MÚTUO DO ALTO CÁVADO E BASTO, CRL",9117,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9117",1470,"Central Mutual Agricultural Credit Bank and Mutual Agricultural Credit Banks",2010-09-16,"Active","PRAÇA DO COMÉRCIO, N.º 61 E 63, FERREIROS","4720-337 FERREIROS AMR","Ferreiros",,,"4720-337 FERREIROS AMR",,,27276835.00,27276835.00,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=CAIXA+DE+CR%c3%89DITO+AGR%c3%8dCOLA+M%c3%9aTUO+DO+ALTO+C%c3%81VADO+E+BASTO%2c+CRL","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=CAIXA+DE+CR%c3%89DITO+AGR%c3%8dCOLA+M%c3%9aTUO+DO+ALTO+C%c3%81VADO+E+BASTO%2c+CRL"
"AKTIA REAL ESTATE MORTGAGE BANK PLC",8998,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8998",9472,"Free Provision of Services by EU Credit Institutions",2007-10-31,"Active",,,,,,,,"Finlândia",,,,
"KS MONEY TRANSFER LIMITED",9193,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9193",8794,"Free Provision of Services by EU Payment Institutions",2010-10-25,"Active",,,,,,,,"Reino Unido",,,,
"RAIFFEISEN ZENTRALBANK ÖSTERREICH AG",8730,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8730",9225,"Free Provision of Services by EU Credit Institutions",1999-06-17,"Active",,,,,,,,"Áustria",,,,
"CREDIBUL EAD",10136,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=10136",9812,"Free Provision of Services by EU Payment Institutions",2015-05-20,"Active",,,,,,,,"Bulgária",,,,
"IKB DEUTSCHE INDUSTRIEBANK AG",8679,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8679",9175,"Free Provision of Services by EU Credit Institutions",1997-09-02,"Active",,,,,,,,"Alemanha",,,,
